(26, [53960, 53961, 53964, 53965, 53966, 53967, 53968, 53971, 53972, 53973, 53976, 53977, 53979, 53980, 53981, 53983], 1)
(27, [56033, 56035, 56037, 56042, 56044, 56045, 56046, 56049, 56054, 56055, 56056, 56057, 56058, 56059, 56062, 56063], 1)
(28, [58113, 58114, 58115, 58116, 58119, 58121, 58122, 58126, 58127, 58130, 58132, 58133, 58136, 58138, 58140, 58141], 1)
(29, [60190, 60191, 60192, 60193, 60194, 60198, 60199, 60201, 60203, 60204, 60205, 60206, 60207, 60208, 60209, 60210], 1)
(30, [62260, 62261, 62262, 62263, 62267, 62269, 62271, 62273, 62274, 62277, 62278, 62279, 62280, 62282, 62285, 62287], 1)
(31, [64336, 64339, 64341, 64342, 64343, 64345, 64346, 64349, 64350, 64355, 64357, 64359, 64360, 64362, 64364, 64368], 1)
(32, [66418, 66419, 66420, 66422, 66423, 66424, 66426, 66427, 66428, 66430, 66431, 66432, 66433, 66434, 66435, 66436], 1)
(33, [68487, 68489, 68490, 68491, 68492, 68493, 68494, 68495, 68496, 68497, 68499, 68500, 68502, 68503, 68504, 68505], 1)
(34, [70555, 70560, 70563, 70564, 70567, 70568, 70572, 70573, 70574, 70575, 70577, 70579, 70580, 70583, 70584, 70585], 1)
(35, [72634, 72635, 72637, 72638, 72642, 72643, 72645, 72647, 72649, 72650, 72652, 72653, 72657, 72658, 72659, 72661], 1)
(36, [74712, 74713, 74715, 74716, 74717, 74718, 74719, 74722, 74724, 74727, 74728, 74731, 74734, 74735, 74736, 74737], 1)
(37, [76786, 76789, 76792, 76793, 76795, 76796, 76798, 76801, 76802, 76803, 76804, 76805, 76807, 76809, 76812, 76814], 1)
(38, [78863, 78864, 78867, 78870, 78871, 78876, 78877, 78878, 78879, 78880, 78881, 78882, 78885, 78888, 78889, 78890], 1)
(39, [80939, 80941, 80944, 80946, 80947, 80948, 80949, 80950, 80951, 80952, 80953, 80954, 80957, 80958, 80961, 80962], 1)
(40, [83013, 83014, 83016, 83017, 83020, 83021, 83022, 83025, 83026, 83029, 83030, 83031, 83034, 83035, 83036, 83038], 1)
(41, [85087, 85088, 85093, 85094, 85095, 85096, 85097, 85098, 85099, 85102, 85103, 85104, 85106, 85108, 85109, 85110], 1)
(42, [87159, 87162, 87165, 87167, 87168, 87169, 87171, 87172, 87174, 87177, 87178, 87179, 87180, 87181, 87183, 87184], 1)
(43, [89237, 89238, 89239, 89240, 89243, 89245, 89246, 89247, 89252, 89253, 89255, 89256, 89259, 89261, 89262, 89264], 1)
(44, [91313, 91315, 91317, 91320, 91323, 91324, 91326, 91327, 91328, 91330, 91331, 91332, 91334, 91335, 91336, 91339], 1)
(45, [93388, 93393, 93396, 93397, 93398, 93399, 93401, 93402, 93404, 93405, 93406, 93407, 93410, 93411, 93412, 93418], 1)
(46, [95468, 95471, 95475, 95478, 95480, 95481, 95484, 95485, 95486, 95487, 95488, 95490, 95491, 95494, 95497, 95499], 1)
